"anly_mapped_zipcode","accession_to_result","accession_to_result","accession_to_result","accession_to_result","accession_to_result_than_1","accession_to_result_than_1"
"00001",0.21739130434782608,0,0,0,22,23
"00003",0.27941176470588236,0,0,1,68,68
"00004",0.42857142857142855,0,0,1,7,7
"00007",0,0,0,0,4,4
"00016",0,0,0,0,2,2
"00060",1,1,1,1,2,2
"00081",2,2,2,2,0,2
"00353",0,0,0,0,1,1
"00501",0.25,0,0,0,4,4
"00608",2,2,2,2,0,1
"00612",4,4,4,4,0,1
"00617",0.3333333333333333,0,0,1,6,6
"00646",3.5,1,1,6,1,2
"00650",0,0,0,0,3,3
"00659",0,0,0,0,1,1
"00664",0,0,0,0,6,6
"00667",0.5,0,0,1,2,2
"00674",1,1,1,1,1,1
"00676",1,1,1,1,1,1
"00680",0,0,0,0,1,1
"00685",3.5,0,0,7,1,2
"00690",1,1,1,1,1,1
"00692",0,0,0,0,2,2
"00693",0,0,0,0,2,2
"00716",1.25,1,1,1,3,4
"00717",3,3,3,3,0,1
"00719",1,1,1,1,1,1
"00725",4,4,4,4,0,1
"00726",0,0,0,0,1,1
"00727",0,0,0,0,1,1
"00730",0,0,0,0,1,1
"00736",5,5,5,5,0,1
"00739",4,4,4,4,0,1
"00751",1,1,1,1,2,2
"00767",1,1,1,1,2,2
"00771",1.5,1,1,2,1,2
"00773",0,0,0,0,2,2
"00778",0,0,0,0,1,1
"00791",0,0,0,0,4,4
"00792",0,0,0,0,1,1
"00794",5,5,5,5,0,1
"00795",5,5,5,5,0,1
"00801",0.6666666666666666,1,0,1,3,3
"00802",0,0,0,0,1,1
"00817",2,1,1,3,1,2
"00820",0.6666666666666666,1,0,1,3,3
"00823",0,0,0,0,2,2
"00831",1,1,1,1,1,1
"00841",0.3333333333333333,0,0,1,3,3
"00844",0,0,0,0,3,3
"00851",0,0,0,0,1,1
"00854",1,1,1,1,1,1
"00881",3,3,3,3,0,1
"00883",1,1,1,1,1,1
"00891",2.5,0,0,5,1,2
"00907",0,0,0,0,4,4
"00908",1,1,1,1,2,2
"00916",1,1,1,1,1,1
"00918",1,1,1,1,1,1
"00924",0,0,0,0,1,1
"00925",1,1,1,1,1,1
"00936",0.25,0,0,0,4,4
"00953",0,0,0,0,1,1
"00955",0.16666666666666666,0,0,0,6,6
"00956",5,5,5,5,0,1
"00957",0,0,0,0,2,2
"00959",7.5,7,7,8,0,2
"00969",0.6666666666666666,1,0,1,3,3
"00971",1,1,1,1,1,1
"00982",1,1,1,1,1,1
"00987",0,0,0,0,2,2
"01000",0.6666666666666666,0,0,2,2,3
"01002",1,1,1,1,3,3
"01007",1,0,0,2,2,4
"01012",0.5,0,0,1,4,4
"01013",0,0,0,0,2,2
"01020",1.6666666666666667,1,0,4,2,3
"01027",1,0,0,2,1,2
"01028",1,1,1,1,1,1
"01030",0,0,0,0,1,1
"01035",0,0,0,0,5,5
"01036",0.5,0,0,1,2,2
"01040",1.4285714285714286,1,1,1,6,7
"01056",0,0,0,0,1,1
"01060",0.3333333333333333,0,0,1,6,6
"01071",1.5,1,1,2,1,2
