"anly_mapped_zipcode","collection_to_report","collection_to_report","collection_to_report","collection_to_report","collection_to_report_less_than_1","collection_to_report_less_than_1"
"00001",0.125,0,0,0,31,32
"00003",0.5507246376811594,0,0,1,62,69
"00005",0,0,0,0,1,1
"00007",0.1429361349184407,0,0,0,3570,3617
"00009",0.016617790811339198,0,0,0,1022,1023
"00034",0,0,0,0,1,1
"00036",0,0,0,0,1,1
"00099",1,1,1,1,1,1
"00106",0,0,0,0,1,1
"00342",0.6666666666666666,1,0,1,3,3
"00353",0,0,0,0,1,1
"00368",1,1,1,1,1,1
"00428",0,0,0,0,1,1
"00573",0,0,0,0,2,2
"00601",0,0,0,0,3,3
"00603",0,0,0,0,4,4
"00604",0,0,0,0,1,1
"00610",0,0,0,0,1,1
"00612",1.4,0,0,0,4,5
"00617",4,4,4,4,0,1
"00622",0,0,0,0,1,1
"00623",0,0,0,0,5,5
"00630",2,2,2,2,0,1
"00637",0.08571428571428572,0,0,0,35,35
"00646",0,0,0,0,6,6
"00650",0,0,0,0,1,1
"00660",0,0,0,0,2,2
"00662",0,0,0,0,2,2
"00667",0,0,0,0,1,1
"00676",0,0,0,0,3,3
"00680",0,0,0,0,7,7
"00682",0,0,0,0,2,2
"00685",0,0,0,0,1,1
"00692",0.6,1,0,1,5,5
"00693",0,0,0,0,3,3
"00716",0,0,0,0,3,3
"00718",0,0,0,0,1,1
"00725",1.3333333333333333,2,0,2,1,3
"00728",0,0,0,0,1,1
"00729",0,0,0,0,1,1
"00730",0,0,0,0,5,5
"00735",0,0,0,0,3,3
"00736",0,0,0,0,3,3
"00739",6,6,6,6,0,1
"00745",0,0,0,0,3,3
"00751",1,1,1,1,2,2
"00757",0,0,0,0,5,5
"00777",0.4,0,0,1,5,5
"00778",0,0,0,0,1,1
"00780",0,0,0,0,2,2
"00783",0,0,0,0,1,1
"00784",2,2,2,2,0,3
"00791",0.36363636363636365,0,0,0,9,11
"00794",7,7,7,7,0,1
"00801",0,0,0,0,26,26
"00802",0.05714285714285714,0,0,0,34,35
"00803",0,0,0,0,23,23
"00804",0,0,0,0,4,4
"00805",0.25,0,0,0,4,4
"00820",0.2826086956521739,0,0,0,43,46
"00821",0,0,0,0,2,2
"00822",0,0,0,0,5,5
"00823",0,0,0,0,30,30
"00824",0,0,0,0,2,2
"00830",0,0,0,0,3,3
"00831",0,0,0,0,4,4
"00840",0.2,0,0,0,9,10
"00841",0.35714285714285715,0,0,1,14,14
"00850",0,0,0,0,1,1
"00851",0,0,0,0,34,34
"00901",0,0,0,0,2,2
"00907",0,0,0,0,5,5
"00909",0,0,0,0,3,3
"00911",0,0,0,0,3,3
"00914",0,0,0,0,4,4
"00917",0,0,0,0,2,2
"00918",0,0,0,0,1,1
"00919",0,0,0,0,1,1
"00922",0,0,0,0,3,3
"00923",1,1,1,1,1,1
"00924",0,0,0,0,1,1
"00925",2,2,2,2,0,1
"00926",0,0,0,0,6,6
"00927",0,0,0,0,1,1
"00929",0,0,0,0,1,1
"00936",0,0,0,0,3,3
"00949",0,0,0,0,1,1
"00952",0,0,0,0,1,1
"00957",0,0,0,0,3,3
"00959",0,0,0,0,1,1
"00961",0,0,0,0,3,3
"00962",0,0,0,0,2,2
"00966",0,0,0,0,8,8
"00968",0,0,0,0,1,1
"00969",0,0,0,0,4,4
"00976",0,0,0,0,7,7
"00979",0,0,0,0,4,4
"00985",0,0,0,0,6,6
"00987",0,0,0,0,2,2
"00999",0,0,0,0,2,2
"01002",2,2,2,2,0,2
"01009",0,0,0,0,7,7
"01010",0,0,0,0,14,14
"01013",1,1,1,1,1,1
"01014",0.058823529411764705,0,0,0,17,17
"01020",0,0,0,0,4,4
"01028",0.5,0,0,1,2,2
"01030",0,0,0,0,4,4
"01036",0.16666666666666666,0,0,0,6,6
"01040",0,0,0,0,24,24
"01056",0,0,0,0,2,2
"01060",0,0,0,0,2,2
"01069",0,0,0,0,1,1
"01070",0,0,0,0,1,1
"01075",0.2857142857142857,0,0,0,6,7
"01077",0,0,0,0,2,2
"01085",0,0,0,0,8,8
"01086",0,0,0,0,3,3
"01089",0.09090909090909091,0,0,0,11,11
"01101",0,0,0,0,1,1
"01103",0,0,0,0,3,3
"01105",0,0,0,0,1,1
"01106",2,2,2,2,0,2
"01107",1,1,1,1,6,6
"01108",0,0,0,0,6,6
"01109",0.2,0,0,0,5,5
"01114",2,2,2,2,0,2
"01151",0,0,0,0,4,4
"01199",0,0,0,0,1,1
"01201",0,0,0,0,6,6
"01202",0,0,0,0,3,3
"01226",0,0,0,0,1,1
"01238",0,0,0,0,1,1
"01240",0,0,0,0,1,1
"01247",0,0,0,0,1,1
