"anly_mapped_zipcode","results_to_report","results_to_report","results_to_report","results_to_report","results_to_report_less_than_1","results_to_report_less_than_1"
"00001",0,0,0,0,26,26
"00002",0,0,0,0,1,1
"00003",0,0,0,0,68,68
"00004",0,0,0,0,7,7
"00007",0,0,0,0,52,52
"00009",0,0,0,0,2,2
"00011",0,0,0,0,1,1
"00016",0,0,0,0,2,2
"00048",0,0,0,0,1,1
"00060",0,0,0,0,2,2
"00070",0,0,0,0,2,2
"00075",0,0,0,0,6,6
"00081",0,0,0,0,2,2
"00089",0,0,0,0,2,2
"00096",0,0,0,0,3,3
"00105",0,0,0,0,1,1
"00109",0,0,0,0,1,1
"00118",0,0,0,0,1,1
"00147",0,0,0,0,1,1
"00186",0,0,0,0,1,1
"00219",0,0,0,0,1,1
"00242",0,0,0,0,1,1
"00251",0,0,0,0,1,1
"00281",0,0,0,0,1,1
"00292",0,0,0,0,1,1
"00301",0,0,0,0,1,1
"00352",0,0,0,0,1,1
"00353",0,0,0,0,1,1
"00360",0,0,0,0,1,1
"00366",0,0,0,0,1,1
"00367",0,0,0,0,2,2
"00371",0,0,0,0,1,1
"00469",0,0,0,0,1,1
"00472",0,0,0,0,2,2
"00495",0,0,0,0,1,1
"00501",0,0,0,0,4,4
"00544",0,0,0,0,1,1
"00567",0,0,0,0,1,1
"00570",0,0,0,0,1,1
"00601",0,0,0,0,42,42
"00602",0,0,0,0,69,69
"00603",0,0,0,0,83,83
"00604",0,0,0,0,49,49
"00605",0,0,0,0,13,13
"00606",0,0,0,0,19,19
"00608",0,0,0,0,3,3
"00610",0,0,0,0,129,129
"00611",0,0,0,0,8,8
"00612",0,0,0,0,528,528
"00613",0,0,0,0,8,8
"00614",0,0,0,0,17,17
"00615",0,0,0,0,1,1
"00616",0,0,0,0,14,14
"00617",0,0,0,0,200,200
"00622",0,0,0,0,51,51
"00623",0,0,0,0,299,299
"00624",0,0,0,0,42,42
"00627",0,0,0,0,385,385
"00631",0,0,0,0,64,64
"00635",0,0,0,0,1,1
"00637",0,0,0,0,106,106
"00638",0,0,0,0,58,58
"00639",0,0,0,0,2,2
"00641",0,0,0,0,32,32
"00645",0,0,0,0,1,1
"00646",0,0,0,0,132,132
"00647",0,0,0,0,11,11
"00650",0,0,0,0,39,39
"00652",0,0,0,0,1,1
"00653",0,0,0,0,27,27
"00654",0,0,0,0,1,1
"00655",0,0,0,0,1,1
"00656",0,0,0,0,37,37
"00657",0,0,0,0,2,2
"00659",0,0,0,0,127,127
"00660",0,0,0,0,65,65
"00662",0,0,0,0,55,55
"00663",0,0,0,0,1,1
"00664",0,0,0,0,26,26
"00665",0,0,0,0,2,2
"00667",0,0,0,0,121,121
"00669",0,0,0,0,272,272
"00670",0,0,0,0,25,25
"00671",0,0,0,0,1,1
"00673",0,0,0,0,3,3
"00674",0,0,0,0,146,146
"00676",0,0,0,0,58,58
"00677",0,0,0,0,37,37
"00678",0,0,0,0,55,55
"00680",0,0,0,0,258,258
"00681",0,0,0,0,49,49
"00682",0,0,0,0,50,50
"00683",0,0,0,0,193,193
"00684",0,0,0,0,1,1
"00685",0,0,0,0,253,253
"00686",0,0,0,0,2,2
"00687",0,0,0,0,218,218
"00688",0,0,0,0,10,10
"00690",0,0,0,0,12,12
"00692",0,0,0,0,120,120
"00693",0,0,0,0,342,342
"00694",0,0,0,0,28,28
"00698",0,0,0,0,77,77
"00702",0,0,0,0,1,1
"00703",0,0,0,0,38,38
"00704",0,0,0,0,1467,1467
"00705",0,0,0,0,203,203
"00706",0,0,0,0,4,4
"00707",0,0,0,0,8,8
"00713",0,0,0,0,2,2
"00714",0,0,0,0,56,56
"00715",0,0,0,0,7,7
"00716",0,0,0,0,169,169
"00717",0,0,0,0,64,64
"00718",0,0,0,0,35,35
"00719",0,0,0,0,170,170
"00720",0,0,0,0,146,146
"00721",0,0,0,0,20,20
"00722",0,0,0,0,1,1
"00723",0,0,0,0,73,73
"00725",0,0,0,0,186,186
"00726",0,0,0,0,26,26
"00727",0,0,0,0,37,37
"00728",0,0,0,0,282,282
"00729",0,0,0,0,100,100
"00730",0,0,0,0,136,136
"00731",0,0,0,0,77,77
"00732",0,0,0,0,12,12
"00733",0,0,0,0,5,5
"00734",0,0,0,0,1,1
"00735",0,0,0,0,82,82
"00736",0,0,0,0,171,171
"00737",0,0,0,0,9,9
"00738",0,0,0,0,250,250
"00739",0,0,0,0,87,87
"00740",0,0,0,0,12,12
"00741",0,0,0,0,2,2
"00744",0,0,0,0,3,3
"00745",0,0,0,0,202,202
"00747",0,0,0,0,3,3
"00748",0,0,0,0,1,1
"00750",0,0,0,0,1,1
"00751",0,0,0,0,4922,4922
"00753",0,0,0,0,2,2
"00754",0,0,0,0,67,67
"00757",0,0,0,0,604,604
"00761",0,0,0,0,3,3
"00765",0,0,0,0,26,26
"00766",0,0,0,0,61,61
"00767",0,0,0,0,53,53
"00769",0,0,0,0,206,206
"00771",0,0,0,0,37,37
"00772",0,0,0,0,57,57
"00773",0,0,0,0,848,848
"00775",0,0,0,0,15,15
"00777",0,0,0,0,55,55
"00778",0,0,0,0,73,73
"00779",0,0,0,0,1,1
"00780",0,0,0,0,97,97
"00781",0,0,0,0,2,2
"00782",0,0,0,0,56,56
"00783",0,0,0,0,141,141
"00784",0,0,0,0,342,342
"00785",0,0,0,0,46,46
"00786",0,0,0,0,5,5
"00787",0,0,0,0,2,2
"00789",0,0,0,0,3,3
"00791",0,0,0,0,38,38
"00792",0,0,0,0,6,6
"00794",0,0,0,0,96,96
"00795",0,0,0,0,229,229
"00798",0,0,0,0,3,3
"00801",0,0,0,0,71,71
"00802",0,0,0,0,231,231
"00803",0,0,0,0,57,57
"00804",0,0,0,0,33,33
"00805",0,0,0,0,12,12
"00816",0,0,0,0,1,1
"00817",0,0,0,0,5,5
"00820",0,0,0,0,168,168
"00821",0,0,0,0,31,31
"00822",0,0,0,0,19,19
"00823",0,0,0,0,79,79
"00824",0,0,0,0,31,31
"00830",0,0,0,0,22,22
"00831",0,0,0,0,34,34
"00840",0,0,0,0,60,60
"00841",0,0,0,0,88,88
"00844",0,0,0,0,3,3
"00850",0,0,0,0,15,15
"00851",0,0,0,0,112,112
"00854",0,0,0,0,3,3
"00861",0,0,0,0,1,1
"00867",0,0,0,0,2,2
"00873",0,0,0,0,1,1
"00880",0,0,0,0,3,3
"00881",0,0,0,0,1,1
"00882",0,0,0,0,2,2
"00883",0,0,0,0,1,1
"00887",0,0,0,0,2,2
"00890",0,0,0,0,4,4
"00891",0,0,0,0,2,2
"00901",0,0,0,0,31,31
"00902",0,0,0,0,9,9
"00906",0,0,0,0,4,4
"00907",0,0,0,0,100,100
"00908",0,0,0,0,11,11
"00909",0,0,0,0,20,20
"00910",0,0,0,0,8,8
"00911",0,0,0,0,34,34
"00912",0,0,0,0,34,34
"00913",0,0,0,0,25,25
"00914",0,0,0,0,4,4
"00915",0,0,0,0,47,47
"00916",0,0,0,0,16,16
"00917",0,0,0,0,55,55
"00918",0,0,0,0,67,67
"00919",0,0,0,0,16,16
"00920",0,0,0,0,123,123
"00921",0,0,0,0,513,513
"00922",0,0,0,0,24,24
"00923",0,0,0,0,62,62
"00924",0,0,0,0,155,155
"00925",0,0,0,0,22,22
"00926",0,0,0,0,451,451
"00927",0,0,0,0,102,102
"00928",0,0,0,0,10,10
"00929",0,0,0,0,10,10
"00930",0,0,0,0,3,3
"00931",0,0,0,0,1,1
"00934",0,0,0,0,1,1
"00936",0,0,0,0,24,24
"00941",0,0,0,0,1,1
"00946",0,0,0,0,6,6
"00948",0,0,0,0,1,1
"00949",0,0,0,0,280,280
"00950",0,0,0,0,6,6
"00951",0,0,0,0,32,32
"00952",0,0,0,0,37,37
"00953",0,0,0,0,510,510
"00954",0,0,0,0,38,38
"00955",0,0,0,0,7,7
"00956",0,0,0,0,376,376
"00957",0,0,0,0,241,241
"00958",0,0,0,0,7,7
"00959",0,0,0,0,498,498
"00960",0,0,0,0,38,38
"00961",0,0,0,0,175,175
"00962",0,0,0,0,83,83
"00963",0,0,0,0,19,19
"00965",0,0,0,0,127,127
"00966",0,0,0,0,154,154
"00967",0,0,0,0,4,4
"00968",0,0,0,0,36,36
"00969",0,0,0,0,460,460
"00970",0,0,0,0,117,117
"00971",0,0,0,0,163,163
"00972",0,0,0,0,1,1
"00975",0,0,0,0,2,2
"00976",0,0,0,0,138,138
"00977",0,0,0,0,17,17
"00978",0,0,0,0,4,4
"00979",0,0,0,0,71,71
"00982",0,0,0,0,40,40
"00983",0,0,0,0,75,75
"00984",0,0,0,0,21,21
"00985",0,0,0,0,116,116
"00986",0,0,0,0,14,14
"00987",0,0,0,0,206,206
"00988",0,0,0,0,3,3
"00996",0,0,0,0,2,2
"01000",0,0,0,0,3,3
"01001",0,0,0,0,6,6
"01002",0,0,0,0,18,18
"01003",0,0,0,0,2,2
"01005",0,0,0,0,2,2
"01007",0,0,0,0,5,5
"01008",0,0,0,0,1,1
"01010",0,0,0,0,1,1
"01012",0,0,0,0,5,5
"01013",0,0,0,0,7,7
"01020",0,0,0,0,9,9
"01022",0,0,0,0,1,1
"01027",0,0,0,0,7,7
"01028",0,0,0,0,7,7
"01029",0,0,0,0,1,1
"01030",0,0,0,0,4,4
"01033",0,0,0,0,4,4
"01034",0,0,0,0,3,3
"01035",0,0,0,0,7,7
"01036",0,0,0,0,4,4
"01040",0,0,0,0,13,13
"01050",0,0,0,0,3,3
"01053",0,0,0,0,3,3
"01054",0,0,0,0,2,2
"01055",0,0,0,0,1,1
"01056",0,0,0,0,4,4
"01057",0,0,0,0,1,1
"01060",0,0,0,0,12,12
"01062",0,0,0,0,3,3
"01068",0,0,0,0,1,1
"01069",0,0,0,0,4,4
"01071",0,0,0,0,4,4
"01073",0,0,0,0,2,2
"01075",0,0,0,0,1,1
"01077",0,0,0,0,5,5
"01078",0,0,0,0,2,2
"01079",0,0,0,0,1,1
"01081",0,0,0,0,1,1
"01082",0,0,0,0,6,6
"01083",0,0,0,0,2,2
"01085",0,0,0,0,12,12
"01087",0,0,0,0,1,1
"01089",0,0,0,0,20,20
"01093",0,0,0,0,3,3
"01094",0,0,0,0,1,1
"01095",0,0,0,0,5,5
"01096",0,0,0,0,1,1
"01099",0,0,0,0,2,2
"01104",0,0,0,0,10,10
"01105",0,0,0,0,5,5
"01106",0,0,0,0,22,22
"01107",0,0,0,0,8,8
"01108",0,0,0,0,7,7
"01109",0,0,0,0,9,9
"01111",0,0,0,0,4,4
"01118",0,0,0,0,7,7
"01119",0,0,0,0,4,4
"01128",0,0,0,0,2,2
"01129",0,0,0,0,1,1
"01151",0,0,0,0,1,1
"01157",0,0,0,0,1,1
"01193",0,0,0,0,1,1
"01201",0,0,0,0,37,37
"01202",0,0,0,0,1,1
"01206",0,0,0,0,10,10
"01220",0,0,0,0,10,10
"01221",0,0,0,0,1,1
"01222",0,0,0,0,3,3
"01223",0,0,0,0,6,6
"01225",0,0,0,0,1,1
"01226",0,0,0,0,8,8
"01229",0,0,0,0,1,1
"01230",0,0,0,0,19,19
"01232",0,0,0,0,1,1
"01235",0,0,0,0,4,4
"01236",0,0,0,0,5,5
"01237",0,0,0,0,2,2
"01238",0,0,0,0,3,3
"01240",0,0,0,0,4,4
"01243",0,0,0,0,1,1
"01244",0,0,0,0,3,3
"01245",0,0,0,0,2,2
"01247",0,0,0,0,43,43
"01253",0,0,0,0,8,8
"01254",0,0,0,0,4,4
"01257",0,0,0,0,2,2
"01258",0,0,0,0,1,1
"01259",0,0,0,0,1,1
"01260",0,0,0,0,1,1
"01262",0,0,0,0,1,1
"01266",0,0,0,0,2,2
"01267",0,0,0,0,57,57
"01270",0,0,0,0,1,1
"01281",0,0,0,0,2,2
"01295",0,0,0,0,1,1
"01299",0,0,0,0,1,1
"01301",0,0,0,0,18,18
"01302",0,0,0,0,1,1
"01303",0,0,0,0,2,2
"01306",0,0,0,0,1,1
"01330",0,0,0,0,3,3
"01331",0,0,0,0,3,3
"01337",0,0,0,0,4,4
"01338",0,0,0,0,2,2
"01341",0,0,0,0,2,2
"01342",0,0,0,0,3,3
"01344",0,0,0,0,2,2
"01349",0,0,0,0,2,2
"01351",0,0,0,0,3,3
"01354",0,0,0,0,3,3
"01360",0,0,0,0,8,8
"01364",0,0,0,0,4,4
